2024-08-20-15:50:07.345712,-95
2024-08-20-15:50:07.345712,-64
2024-08-20-15:50:07.345712,-36
2024-08-20-15:50:07.345712,-19
2024-08-20-15:50:07.345712,-13
2024-08-20-15:50:07.345712,-7
2024-08-20-15:50:07.345712,4
2024-08-20-15:50:07.345712,18
2024-08-20-15:50:07.345712,36
2024-08-20-15:50:07.345712,56
2024-08-20-15:50:07.345712,79
2024-08-20-15:50:07.345712,98
2024-08-20-15:50:07.345712,131
2024-08-20-15:50:07.345712,227
2024-08-20-15:50:07.345712,375
2024-08-20-15:50:07.345712,508
2024-08-20-15:50:07.345712,589
2024-08-20-15:50:07.345712,634
2024-08-20-15:50:07.345712,665
2024-08-20-15:50:07.345712,682
2024-08-20-15:50:07.345712,668
2024-08-20-15:50:07.345712,626
2024-08-20-15:50:07.345712,571
2024-08-20-15:50:07.345712,488
2024-08-20-15:50:07.345712,362
2024-08-20-15:50:07.345712,215
2024-08-20-15:50:07.345712,68
2024-08-20-15:50:07.345712,-79
2024-08-20-15:50:07.361336,-92
2024-08-20-15:50:07.361336,-55
2024-08-20-15:50:07.361336,-25
2024-08-20-15:50:07.361336,-6
2024-08-20-15:50:07.361336,5
2024-08-20-15:50:07.361336,10
2024-08-20-15:50:07.361336,12
2024-08-20-15:50:07.361336,23
2024-08-20-15:50:07.361336,37
2024-08-20-15:50:07.361336,53
2024-08-20-15:50:07.361336,73
2024-08-20-15:50:07.361336,93
2024-08-20-15:50:07.361336,116
2024-08-20-15:50:07.361336,202
2024-08-20-15:50:07.361336,347
2024-08-20-15:50:07.361336,484
2024-08-20-15:50:07.361336,571
2024-08-20-15:50:07.361336,628
2024-08-20-15:50:07.361336,670
2024-08-20-15:50:07.361336,692
2024-08-20-15:50:07.361336,685
2024-08-20-15:50:07.361336,643
2024-08-20-15:50:07.361336,578
2024-08-20-15:50:07.361336,491
2024-08-20-15:50:07.361336,368
2024-08-20-15:50:07.361336,216
2024-08-20-15:50:07.361336,64
2024-08-20-15:50:07.361336,-82
2024-08-20-15:50:07.361336,-82
2024-08-20-15:50:07.361336,-48
2024-08-20-15:50:07.361336,-25
2024-08-20-15:50:07.361336,-22
2024-08-20-15:50:07.361336,-25
2024-08-20-15:50:07.361336,-24
2024-08-20-15:50:07.361336,-20
2024-08-20-15:50:07.361336,-6
2024-08-20-15:50:07.361336,12
2024-08-20-15:50:07.361336,30
2024-08-20-15:50:07.361336,48
2024-08-20-15:50:07.361336,76
2024-08-20-15:50:07.361336,154
2024-08-20-15:50:07.361336,293
2024-08-20-15:50:07.361336,435
2024-08-20-15:50:07.361336,529
2024-08-20-15:50:07.361336,581
2024-08-20-15:50:07.361336,611
2024-08-20-15:50:07.361336,629
2024-08-20-15:50:07.361336,616
