iter	Passed	Remaining
0	2	2344
1	5	2694
2	7	2617
3	10	2596
4	13	2589
5	15	2570
6	17	2529
7	20	2523
8	22	2519
9	25	2495
10	28	2529
11	30	2518
12	32	2441
13	34	2435
14	36	2426
15	39	2417
16	41	2428
17	45	2465
18	48	2495
19	51	2517
20	53	2504
21	56	2489
22	58	2477
23	60	2468
24	63	2464
25	65	2443
26	67	2441
27	69	2422
28	72	2431
29	75	2426
30	78	2445
31	80	2439
32	82	2428
33	85	2427
34	87	2414
35	90	2416
36	92	2412
37	94	2394
38	96	2385
39	99	2386
40	102	2386
41	103	2369
42	106	2375
43	109	2383
44	112	2387
45	115	2395
46	118	2403
47	120	2397
48	123	2388
49	124	2358
50	126	2348
51	128	2335
52	130	2327
53	132	2318
54	134	2315
55	137	2309
56	139	2312
57	142	2316
58	144	2312
59	147	2316
60	150	2315
61	153	2317
62	155	2309
63	174	2547
64	176	2545
65	179	2539
66	182	2536
67	184	2523
68	186	2516
69	189	2512
70	191	2507
71	193	2500
72	196	2491
73	198	2483
74	200	2473
75	203	2468
76	205	2465
77	207	2458
78	210	2455
79	212	2446
80	215	2440
81	217	2431
82	219	2425
83	221	2416
84	223	2408
85	225	2400
86	227	2391
87	229	2380
88	231	2372
89	233	2365
90	235	2357
91	238	2350
92	240	2345
93	242	2339
94	245	2336
95	247	2332
96	250	2331
97	252	2325
98	254	2320
99	256	2312
100	259	2306
101	261	2302
102	263	2297
103	266	2293
104	268	2288
105	270	2282
106	272	2277
107	275	2271
108	277	2266
109	279	2261
110	281	2256
111	284	2251
112	286	2248
113	288	2243
114	290	2238
115	293	2233
116	296	2235
117	298	2227
118	300	2224
119	302	2221
120	304	2212
121	307	2210
122	309	2207
123	312	2206
124	314	2203
125	317	2202
126	320	2199
127	322	2194
128	324	2190
129	326	2185
130	328	2180
131	331	2177
132	333	2173
133	335	2169
134	337	2164
135	340	2160
136	342	2155
137	344	2150
138	346	2146
139	349	2144
140	351	2141
141	354	2139
142	355	2132
143	357	2127
144	359	2122
145	362	2117
146	364	2113
147	366	2108
148	368	2103
149	370	2100
150	372	2096
151	375	2092
152	377	2089
153	379	2084
154	381	2082
155	384	2080
156	387	2078
157	389	2074
158	391	2069
159	393	2065
160	395	2061
161	397	2057
162	400	2055
163	402	2052
164	404	2046
165	406	2042
166	408	2039
167	410	2035
168	412	2029
169	414	2025
170	417	2021
171	419	2017
172	421	2014
173	423	2010
174	425	2005
175	427	1999
176	430	1999
177	432	1996
178	434	1994
179	437	1993
180	440	1991
181	442	1989
182	445	1988
183	447	1985
184	450	1984
185	452	1981
186	455	1979
187	457	1976
188	460	1973
189	462	1970
190	464	1967
191	467	1966
192	470	1965
193	471	1958
194	474	1956
195	476	1955
196	479	1953
197	481	1950
198	484	1948
199	486	1946
200	488	1942
201	492	1943
202	494	1941
203	497	1939
204	499	1936
205	501	1934
206	503	1929
207	506	1929
208	509	1927
209	511	1925
210	514	1923
211	516	1921
212	519	1918
213	521	1915
214	523	1910
215	525	1908
216	527	1903
217	529	1899
218	531	1896
219	534	1894
220	536	1891
221	538	1888
222	541	1885
223	543	1882
224	545	1878
225	547	1875
226	549	1872
227	552	1870
228	555	1871
229	559	1871
230	561	1869
231	564	1870
232	567	1867
233	570	1866
234	572	1863
235	574	1861
236	577	1859
237	580	1857
238	582	1855
239	585	1853
240	587	1850
241	590	1849
242	592	1847
243	595	1845
244	598	1845
245	600	1842
246	603	1839
247	605	1836
248	607	1833
249	611	1833
250	614	1832
251	617	1831
252	619	1829
253	622	1828
254	625	1826
255	627	1824
256	629	1820
257	632	1819
258	634	1816
259	652	1856
260	654	1853
261	657	1851
262	659	1847
263	662	1845
264	663	1841
265	666	1838
266	669	1836
267	671	1834
268	673	1831
269	676	1827
270	679	1826
271	681	1824
272	684	1822
273	686	1819
274	688	1815
275	691	1813
276	693	1809
277	695	1807
278	697	1802
279	699	1799
280	702	1796
281	704	1793
282	706	1790
283	708	1787
284	711	1783
285	713	1782
286	716	1778
287	718	1776
288	720	1773
289	722	1769
290	724	1766
291	726	1762
292	729	1759
293	731	1757
294	733	1754
295	736	1752
296	738	1748
297	741	1747
298	743	1744
299	746	1741
300	748	1738
301	750	1735
302	753	1733
303	755	1729
304	758	1727
305	760	1724
306	762	1721
307	765	1719
308	767	1716
309	769	1713
310	772	1710
311	774	1707
312	777	1705
313	779	1702
314	781	1699
315	783	1696
316	785	1692
317	788	1691
318	790	1687
319	792	1684
320	794	1681
321	796	1677
322	799	1675
323	801	1672
324	804	1670
325	806	1667
326	808	1664
327	811	1662
328	813	1658
329	815	1656
330	818	1654
331	820	1650
332	822	1648
333	824	1644
334	827	1641
335	830	1641
336	833	1640
337	836	1637
338	837	1633
339	840	1631
340	843	1629
341	845	1627
342	847	1624
343	850	1621
344	852	1618
345	854	1615
346	857	1613
347	859	1610
